id;kvk;naam;type;identifier
4b41d28e-6a89-47b9-b572-c78b24c7f59b;14130743;Gemeente Beesel;Gemeente;GM0889
7af4df3f-b917-422a-baa1-a1f11afd1b98;14131481;Gemeente Gennep;Gemeente;GM0907
2224a4ed-a7cc-4026-802a-2a5bbd23ce5f;14131528;Gemeente Landgraaf;Gemeente;GM0882
bcc78183-834e-4e63-9ef4-1157f43ac0c4;14131668;Gemeente Venlo;Gemeente;GM0983
d999914d-4df8-4b25-bb13-4cb0f68fb693;14131921;Gemeente Valkenburg aan de Geul;Gemeente;GM0994
8ce8cbc7-2bdc-4760-a234-3b49d25198c5;14131922;Gemeente Vaals;Gemeente;GM0981
c4c2ab47-5d10-4247-bf9b-e632f0a788c1;14132389;Gemeente Venray;Gemeente;GM0984
a0bd5739-4879-48b8-9850-d778260f6335;14602038;N.V. Waterleiding Maatschappij Limburg;Overig;
b66c89a8-ab96-49b7-a8c7-4d2ca829fc80;14635629;SPIE Nederland B.V.;Overig;
78b44469-0790-4d2f-bc05-aa674bd86f2d;16005077;Brabant Water;Overig;
ea86d4d7-bbea-407f-91f0-8b0a2d9e4d14;16055402;Vissers-Ploegmakers B.V.;Overig;
7cb2d840-1cc4-46fa-bfe2-22ac280eb3a8;17052457;Ingenieursbureau Inpijn-Blokpoel Son B.V.;Overig;
b6afd7eb-1cad-4bea-bfa0-f9f299ac07ec;17076128;Ingenieursbureau Inpijn-Blokpoel west B.V.;Overig;
7fbf7e70-6c6a-46ca-9137-d9525386c397;17104126;Heijmans Infra B.V.;Overig;
c6004ff5-64d2-476c-8666-e7bd395ae50e;17131641;Lankelma Geotechniek Zuid B.V.;Overig;
c13ad3ef-cfff-4d79-8409-3b7d4b65c475;17185598;LWRO;Overig;
40546624-ecd1-4e97-88d9-0bea54cf9fd2;17200060;DataScore Software B.V.;Overig;
e47eb5e0-9a93-4964-bfe0-08d85fe3a985;17237737;Gemeente Sint-Michielsgestel;Gemeente;GM0845
4b026399-e530-484c-b9f6-403742c3e989;17242249;Gemeente Sint Anthonis;Gemeente;GM1702
e583c798-a1c6-437b-a0a1-9db03e84f2a9;17251019;Waterschap Aa en Maas;Waterschap;WS38
cc8ce227-d41c-4e82-a514-aea21be91cbd;17268742;Gemeente Hilvarenbeek;Gemeente;GM0798
1f154d65-e91f-4acd-b9e3-d5505a104006;17269410;Gemeente Waalre;Gemeente;GM0866
3560b902-0c5b-41a9-95cb-5b0452fa86fb;17272342;Gemeente Valkenswaard;Gemeente;GM0858
0c8693be-2725-4c26-a508-06e65c24de03;17272483;Gemeente Veldhoven;Gemeente;GM0861
52562d88-9f1b-4a46-a111-d56d6f6eb4de;17272521;Gemeente Reusel-De Mierden;Gemeente;GM1667
dff9646b-82b8-4eef-98a4-11620dfc6a2c;17272524;Gemeente Geldrop-Mierlo;Gemeente;GM1771
1c058647-e297-4611-a6f5-9a2fa4a327c7;17272566;Gemeente Bladel;Gemeente;GM1728
447dec3b-9407-4a3d-b952-72bd19a22478;17272622;Gemeente Woudrichem;Overig;
b4c2a8e6-4b3e-4e5c-b00e-ca905c921f8c;17272669;Gemeente Helmond;Gemeente;GM0794
b07c289d-be01-47b0-9702-177f1db9e997;17272690;Gemeente Goirle;Gemeente;GM0785
14dec6fe-9a0e-449d-a652-b95f541fa786;17272738;Gemeente Eindhoven;Gemeente;GM0772
ff473648-1962-41df-a001-b431dce2f81f;17272741;Gemeente Gilze en Rijen;Gemeente;GM0784
504b9303-03dc-47b8-a4bb-30b6f51f74a8;17272760;Gemeente Oisterwijk;Gemeente;GM0824
893ec9c1-2f4b-4d48-87ca-8d6ca62b3e23;17273055;Gemeente Best;Gemeente;GM0753
c47687e3-22bd-4670-b8a4-3e85da833572;17273152;Gemeente Someren;Gemeente;GM0847
000f6119-5a28-4344-8aaa-10929ec862dd;17273202;Gemeente Bergeijk;Gemeente;GM1724
8e1f3cc2-708f-4810-9c09-d949aea3c87f;17273265;Gemeente Eersel;Gemeente;GM0770
208930c7-b9ef-4002-b2b9-d69899447ad5;17274037;Gemeente Heeze-Leende;Gemeente;GM1658
94845ff5-d9e7-4e6e-95ad-00b237b0772f;17274242;Gemeente Aalburg;Overig;
9050ea21-e194-4d6d-89af-9a1bf2f462cc;17274669;Gemeente Dongen;Gemeente;GM0766
dda7dde1-8155-4e31-9270-94688684ff42;17275949;Gemeente Landerd;Gemeente;GM1685
908a84b6-d77b-4e3b-8181-e220a33d8b66;17277734;Waterschap De Dommel;Waterschap;WS27
79b22141-410d-4f14-91fd-482405abd210;17278006;Gemeente Waalwijk;Gemeente;GM0867
fde3aea9-344f-4a52-a009-167f4c7d4125;17278466;Gemeente Grave;Gemeente;GM0786
d025a330-5352-4d44-b8ee-0145ca3bcc03;17278565;Gemeente Heusden;Gemeente;GM0797
6553fda0-10af-4225-a4e0-4681313d9dd3;17278580;Gemeente Boxtel;Gemeente;GM0757
def667fc-8635-44c8-91b7-3577d0e2b590;17278665;Gemeente Cuijk;Gemeente;GM1684
ba401b84-ba7e-4589-b832-daace5f485f9;17278704;Gemeente 's-Hertogenbosch;Gemeente;GM0796
8708e5c0-6c08-46f8-b532-5fc0dcd64610;17278718;Provincie Noord-Brabant;Provincie;PV30
06d5ce38-9ed3-4e14-b8a7-178816c5adf8;17278721;Gemeente Boekel;Gemeente;GM0755
de799661-2063-44bd-a3cb-abef5f6aab35;17279334;Gemeente Uden;Gemeente;GM0856
a05d573a-6773-44cf-b7df-d02e46c577c8;17279582;Gemeente Laarbeek;Gemeente;GM1659
8bdb313d-9da1-4121-b484-9158d5dcb4b7;17280777;Gemeente Loon op Zand;Gemeente;GM0809
75fd8c1f-d8b1-4630-af5a-8229af42f527;17280818;Gemeente Son en Breugel;Gemeente;GM0848
e73c96a6-ff25-4380-a014-a29138ff24c2;17281808;Gemeente Tilburg;Gemeente;GM0855
e4a2f672-66d5-4a63-a26b-af7bfe05c917;17281823;Gemeente Deurne;Gemeente;GM0762
30164c52-92eb-4196-81de-77be1da84536;17282376;Gemeente Cranendonck;Gemeente;GM1706
